Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O94761	reviewed	RECQ4_HUMAN	ATP-dependent DNA helicase Q4 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ4) (DNA helicase, RecQ-like type 4) (RecQ4) (RTS) (RecQ protein-like 4)	RECQL4 RECQ4	Homo sapiens (Human)	1208
O94762	reviewed	RECQ5_HUMAN	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ5) (RecQ protein-like 5)	RECQL5 RECQ5	Homo sapiens (Human)	991
O94766	reviewed	B3GA3_HUMAN	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 3) (Glucuronosyltransferase I) (GlcAT-I) (UDP-GlcUA:Gal beta-1,3-Gal-R glucuronyltransferase) (GlcUAT-I)	B3GAT3	Homo sapiens (Human)	335
O94768	reviewed	ST17B_HUMAN	Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2)	STK17B DRAK2	Homo sapiens (Human)	372
O94779	reviewed	CNTN5_HUMAN	Contactin-5 (Neural recognition molecule NB-2) (hNB-2)	CNTN5	Homo sapiens (Human)	1100
O94782	reviewed	UBP1_HUMAN	Ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (hUBP) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1) [Cleaved into: Ubiquitin carboxyl-terminal hydrolase 1, N-terminal fragment]	USP1	Homo sapiens (Human)	785
O94788	reviewed	AL1A2_HUMAN	Retinal dehydrogenase 2 (RALDH 2) (RalDH2) (EC 1.2.1.36) (Aldehyde dehydrogenase family 1 member A2) (ALDH1A2) (Retinaldehyde-specific dehydrogenase type 2) (RALDH(II))	ALDH1A2 RALDH2	Homo sapiens (Human)	518
O94804	reviewed	STK10_HUMAN	Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)	STK10 LOK	Homo sapiens (Human)	968
O94806	reviewed	KPCD3_HUMAN	Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu)	PRKD3 EPK2 PRKCN	Homo sapiens (Human)	890
O94813	reviewed	SLIT2_HUMAN	Slit homolog 2 protein (Slit-2) [Cleaved into: Slit homolog 2 protein N-product; Slit homolog 2 protein C-product]	SLIT2 SLIL3	Homo sapiens (Human)	1529
O94817	reviewed	ATG12_HUMAN	Ubiquitin-like protein ATG12 (Autophagy-related protein 12) (APG12-like)	ATG12 APG12 APG12L	Homo sapiens (Human)	140
O94822	reviewed	LTN1_HUMAN	E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING finger protein 160) (RING-type E3 ubiquitin transferase listerin) (Zinc finger protein 294)	LTN1 C21orf10 C21orf98 KIAA0714 RNF160 ZNF294 HSPC087	Homo sapiens (Human)	1766
O94826	reviewed	TOM70_HUMAN	Mitochondrial import receptor subunit TOM70 (Mitochondrial precursor proteins import receptor) (Translocase of outer membrane 70 kDa subunit) (Translocase of outer mitochondrial membrane protein 70)	TOMM70 KIAA0719 TOM70 TOMM70A	Homo sapiens (Human)	608
O94829	reviewed	IPO13_HUMAN	Importin-13 (Imp13) (Karyopherin-13) (Kap13) (Ran-binding protein 13) (RanBP13)	IPO13 KIAA0724 RANBP13	Homo sapiens (Human)	963
O94851	reviewed	MICA2_HUMAN	[F-actin]-monooxygenase MICAL2 (EC 1.14.13.225) (MICAL C-terminal-like protein) (Mical-cL) (Molecule interacting with CasL protein 2) (MICAL-2)	MICAL2 KIAA0750 MICAL2PV1 MICAL2PV2 MICALCL	Homo sapiens (Human)	1957
O94855	reviewed	SC24D_HUMAN	Protein transport protein Sec24D (SEC24-related protein D)	SEC24D KIAA0755	Homo sapiens (Human)	1032
O94856	reviewed	NFASC_HUMAN	Neurofascin	NFASC KIAA0756	Homo sapiens (Human)	1347
O94864	reviewed	ST65G_HUMAN	STAGA complex 65 subunit gamma (Adenocarcinoma antigen ART1) (SPTF-associated factor 65 gamma) (STAF65gamma) (Suppressor of Ty 7-like)	SUPT7L KIAA0764	Homo sapiens (Human)	414
O94868	reviewed	FCSD2_HUMAN	F-BAR and double SH3 domains protein 2 (Carom) (Protein nervous wreck 1) (NWK1) (SH3 multiple domains protein 3)	FCHSD2 KIAA0769 SH3MD3	Homo sapiens (Human)	740
O94874	reviewed	UFL1_HUMAN	E3 UFM1-protein ligase 1 (EC 2.3.2.-) (E3 UFM1-protein transferase 1) (Multiple alpha-helix protein located at ER) (Novel LZAP-binding protein) (Regulator of C53/LZAP and DDRGK1)	UFL1 KIAA0776 MAXER NLBP RCAD	Homo sapiens (Human)	794
O94875	reviewed	SRBS2_HUMAN	Sorbin and SH3 domain-containing protein 2 (Arg-binding protein 2) (ArgBP2) (Arg/Abl-interacting protein 2) (Sorbin)	SORBS2 ARGBP2 KIAA0777	Homo sapiens (Human)	1100
O94885	reviewed	SASH1_HUMAN	SAM and SH3 domain-containing protein 1 (Proline-glutamate repeat-containing protein)	SASH1 KIAA0790 PEPE1	Homo sapiens (Human)	1247
O94886	reviewed	CSCL1_HUMAN	CSC1-like protein 1 (Transmembrane protein 63A)	TMEM63A KIAA0489 KIAA0792	Homo sapiens (Human)	807
O94888	reviewed	UBXN7_HUMAN	UBX domain-containing protein 7	UBXN7 KIAA0794 UBXD7	Homo sapiens (Human)	489
O94901	reviewed	SUN1_HUMAN	SUN domain-containing protein 1 (Protein unc-84 homolog A) (Sad1/unc-84 protein-like 1)	SUN1 KIAA0810 UNC84A	Homo sapiens (Human)	785
O94906	reviewed	PRP6_HUMAN	Pre-mRNA-processing factor 6 (Androgen receptor N-terminal domain-transactivating protein 1) (ANT-1) (PRP6 homolog) (U5 snRNP-associated 102 kDa protein) (U5-102 kDa protein)	PRPF6 C20orf14	Homo sapiens (Human)	941
O94907	reviewed	DKK1_HUMAN	Dickkopf-related protein 1 (Dickkopf-1) (Dkk-1) (hDkk-1) (SK)	DKK1 UNQ492/PRO1008	Homo sapiens (Human)	266
O94913	reviewed	PCF11_HUMAN	Pre-mRNA cleavage complex 2 protein Pcf11 (Pre-mRNA cleavage complex II protein Pcf11)	PCF11 KIAA0824	Homo sapiens (Human)	1555
O94916	reviewed	NFAT5_HUMAN	Nuclear factor of activated T-cells 5 (NF-AT5) (T-cell transcription factor NFAT5) (Tonicity-responsive enhancer-binding protein) (TonE-binding protein) (TonEBP)	NFAT5 KIAA0827 TONEBP	Homo sapiens (Human)	1531
O94923	reviewed	GLCE_HUMAN	D-glucuronyl C5-epimerase (EC 5.1.3.17) (Heparan sulfate C5-epimerase) (Hsepi) (Heparin/heparan sulfate:glucuronic acid C5-epimerase) (Heparosan-N-sulfate-glucuronate 5-epimerase)	GLCE KIAA0836	Homo sapiens (Human)	617
O94925	reviewed	GLSK_HUMAN	Glutaminase kidney isoform, mitochondrial (GLS) (EC 3.5.1.2) (K-glutaminase) (L-glutamine amidohydrolase) [Cleaved into: Glutaminase kidney isoform, mitochondrial 68 kDa chain; Glutaminase kidney isoform, mitochondrial 65 kDa chain]	GLS GLS1 KIAA0838	Homo sapiens (Human)	669
O94927	reviewed	HAUS5_HUMAN	HAUS augmin-like complex subunit 5	HAUS5 KIAA0841	Homo sapiens (Human)	633
O94929	reviewed	ABLM3_HUMAN	Actin-binding LIM protein 3 (abLIM-3) (Actin-binding LIM protein family member 3)	ABLIM3 KIAA0843 HMFN1661	Homo sapiens (Human)	683
O94953	reviewed	KDM4B_HUMAN	Lysine-specific demethylase 4B (EC 1.14.11.66) (JmjC domain-containing histone demethylation protein 3B) (Jumonji domain-containing protein 2B) ([histone H3]-trimethyl-L-lysine(9) demethylase 4B)	KDM4B JHDM3B JMJD2B KIAA0876	Homo sapiens (Human)	1096
O94966	reviewed	UBP19_HUMAN	Ubiquitin carboxyl-terminal hydrolase 19 (EC 3.4.19.12) (Deubiquitinating enzyme 19) (Ubiquitin thioesterase 19) (Ubiquitin-specific-processing protease 19) (Zinc finger MYND domain-containing protein 9)	USP19 KIAA0891 ZMYND9	Homo sapiens (Human)	1318
O94972	reviewed	TRI37_HUMAN	E3 ubiquitin-protein ligase TRIM37 (EC 2.3.2.27) (Mulibrey nanism protein) (RING-type E3 ubiquitin transferase TRIM37) (Tripartite motif-containing protein 37)	TRIM37 KIAA0898 MUL POB1	Homo sapiens (Human)	964
O94979	reviewed	SC31A_HUMAN	Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein)	SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334	Homo sapiens (Human)	1220
O94986	reviewed	CE152_HUMAN	Centrosomal protein of 152 kDa (Cep152)	CEP152 KIAA0912	Homo sapiens (Human)	1710
O94992	reviewed	HEXI1_HUMAN	Protein HEXIM1 (Cardiac lineage protein 1) (Estrogen down-regulated gene 1 protein) (Hexamethylene bis-acetamide-inducible protein 1) (Menage a quatre protein 1)	HEXIM1 CLP1 EDG1 HIS1 MAQ1	Homo sapiens (Human)	359
O94993	reviewed	SOX30_HUMAN	Transcription factor SOX-30	SOX30	Homo sapiens (Human)	753
O95045	reviewed	UPP2_HUMAN	Uridine phosphorylase 2 (UPase 2) (UrdPase 2) (EC 2.4.2.3)	UPP2	Homo sapiens (Human)	317
O95049	reviewed	ZO3_HUMAN	Tight junction protein ZO-3 (Tight junction protein 3) (Zona occludens protein 3) (Zonula occludens protein 3)	TJP3 ZO3	Homo sapiens (Human)	919
O95050	reviewed	INMT_HUMAN	Indolethylamine N-methyltransferase (Indolamine N-methyltransferase) (EC 2.1.1.49) (EC 2.1.1.96) (Aromatic alkylamine N-methyltransferase) (Amine N-methyltransferase) (Arylamine N-methyltransferase) (Thioether S-methyltransferase) (TEMT)	INMT	Homo sapiens (Human)	263
O95057	reviewed	DIRA1_HUMAN	GTP-binding protein Di-Ras1 (Distinct subgroup of the Ras family member 1) (Ras-related inhibitor of cell growth) (Rig) (Small GTP-binding tumor suppressor 1)	DIRAS1 GBTS1 RIG	Homo sapiens (Human)	198
O95059	reviewed	RPP14_HUMAN	Ribonuclease P protein subunit p14	RPP14	Homo sapiens (Human)	124
O95069	reviewed	KCNK2_HUMAN	Potassium channel subfamily K member 2 (Outward rectifying potassium channel protein TREK-1) (TREK-1 K(+) channel subunit) (Two pore domain potassium channel TREK1) (Two pore potassium channel TPKC1) (K2P2.1)	KCNK2 TREK TREK1	Homo sapiens (Human)	426
O95071	reviewed	UBR5_HUMAN	E3 ubiquitin-protein ligase UBR5 (EC 2.3.2.26) (E3 ubiquitin-protein ligase, HECT domain-containing 1) (Hyperplastic discs protein homolog) (hHYD) (Progestin-induced protein)	UBR5 EDD EDD1 HYD KIAA0896	Homo sapiens (Human)	2799
O95104	reviewed	SCAF4_HUMAN	SR-related and CTD-associated factor 4 (CTD-binding SR-like protein RA4) (Splicing factor, arginine/serine-rich 15)	SCAF4 KIAA1172 SFRS15	Homo sapiens (Human)	1147
O95136	reviewed	S1PR2_HUMAN	Sphingosine 1-phosphate receptor 2 (S1P receptor 2) (S1P2) (Endothelial differentiation G-protein coupled receptor 5) (Sphingosine 1-phosphate receptor Edg-5) (S1P receptor Edg-5)	S1PR2 EDG5	Homo sapiens (Human)	353
O95139	reviewed	NDUB6_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 (Complex I-B17) (CI-B17) (NADH-ubiquinone oxidoreductase B17 subunit)	NDUFB6	Homo sapiens (Human)	128
O95140	reviewed	MFN2_HUMAN	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	MFN2 CPRP1 KIAA0214	Homo sapiens (Human)	757
O95147	reviewed	DUS14_HUMAN	Dual specificity protein phosphatase 14 (EC 3.1.3.16) (EC 3.1.3.48) (MKP-1-like protein tyrosine phosphatase) (MKP-L) (Mitogen-activated protein kinase phosphatase 6) (MAP kinase phosphatase 6) (MKP-6)	DUSP14 MKP6	Homo sapiens (Human)	198
O95149	reviewed	SPN1_HUMAN	Snurportin-1 (RNA U transporter 1)	SNUPN RNUT1 SPN1	Homo sapiens (Human)	360
O95150	reviewed	TNF15_HUMAN	Tumor necrosis factor ligand superfamily member 15 (TNF ligand-related molecule 1) (Vascular endothelial cell growth inhibitor) [Cleaved into: Tumor necrosis factor ligand superfamily member 15, membrane form; Tumor necrosis factor ligand superfamily member 15, secreted form]	TNFSF15 TL1 VEGI	Homo sapiens (Human)	251
O95154	reviewed	ARK73_HUMAN	Aflatoxin B1 aldehyde reductase member 3 (EC 1.-.-.-) (AFB1 aldehyde reductase 2) (AFB1-AR 2)	AKR7A3 AFAR2	Homo sapiens (Human)	331
O95155	reviewed	UBE4B_HUMAN	Ubiquitin conjugation factor E4 B (EC 2.3.2.27) (Homozygously deleted in neuroblastoma 1) (RING-type E3 ubiquitin transferase E4 B) (Ubiquitin fusion degradation protein 2)	UBE4B HDNB1 KIAA0684 UFD2	Homo sapiens (Human)	1302
O95163	reviewed	ELP1_HUMAN	Elongator complex protein 1 (ELP1) (IkappaB kinase complex-associated protein) (IKK complex-associated protein) (p150)	ELP1 IKAP IKBKAP	Homo sapiens (Human)	1332
O95166	reviewed	GBRAP_HUMAN	Gamma-aminobutyric acid receptor-associated protein (GABA(A) receptor-associated protein) (MM46)	GABARAP FLC3B HT004	Homo sapiens (Human)	117
O95167	reviewed	NDUA3_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (CI-B9) (NADH-ubiquinone oxidoreductase B9 subunit)	NDUFA3	Homo sapiens (Human)	84
O95168	reviewed	NDUB4_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 (Complex I-B15) (CI-B15) (NADH-ubiquinone oxidoreductase B15 subunit)	NDUFB4	Homo sapiens (Human)	129
O95169	reviewed	NDUB8_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial (Complex I-ASHI) (CI-ASHI) (NADH-ubiquinone oxidoreductase ASHI subunit)	NDUFB8	Homo sapiens (Human)	186
O95178	reviewed	NDUB2_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial (Complex I-AGGG) (CI-AGGG) (NADH-ubiquinone oxidoreductase AGGG subunit)	NDUFB2	Homo sapiens (Human)	105
O95180	reviewed	CAC1H_HUMAN	Voltage-dependent T-type calcium channel subunit alpha-1H (Low-voltage-activated calcium channel alpha1 3.2 subunit) (Voltage-gated calcium channel subunit alpha Cav3.2)	CACNA1H	Homo sapiens (Human)	2353
O95182	reviewed	NDUA7_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)	NDUFA7	Homo sapiens (Human)	113
O95197	reviewed	RTN3_HUMAN	Reticulon-3 (Homolog of ASY protein) (HAP) (Neuroendocrine-specific protein-like 2) (NSP-like protein 2) (Neuroendocrine-specific protein-like II) (NSP-like protein II) (NSPLII)	RTN3 ASYIP NSPL2	Homo sapiens (Human)	1032
O95198	reviewed	KLHL2_HUMAN	Kelch-like protein 2 (Actin-binding protein Mayven)	KLHL2	Homo sapiens (Human)	593
O95202	reviewed	LETM1_HUMAN	Mitochondrial proton/calcium exchanger protein (Electroneutral mitochondrial K(+)/H(+)exchanger) (KHE) (Leucine zipper-EF-hand-containing transmembrane protein 1)	LETM1	Homo sapiens (Human)	739
O95206	reviewed	PCDH8_HUMAN	Protocadherin-8 (Arcadlin)	PCDH8	Homo sapiens (Human)	1070
O95210	reviewed	STBD1_HUMAN	Starch-binding domain-containing protein 1 (Genethonin-1) (Glycophagy cargo receptor STBD1)	STBD1 GENX-3414	Homo sapiens (Human)	358
O95218	reviewed	ZRAB2_HUMAN	Zinc finger Ran-binding domain-containing protein 2 (Zinc finger protein 265) (Zinc finger, splicing)	ZRANB2 ZIS ZNF265	Homo sapiens (Human)	330
O95229	reviewed	ZWINT_HUMAN	Outer kinetochore KNL1 complex subunit ZWINT (ZW10 interactor) (ZW10-interacting protein 1) (Zwint-1)	ZWINT	Homo sapiens (Human)	277
O95235	reviewed	KI20A_HUMAN	Kinesin-like protein KIF20A (GG10_2) (Mitotic kinesin-like protein 2) (MKlp2) (Rab6-interacting kinesin-like protein) (Rabkinesin-6)	KIF20A MKLP2 RAB6KIFL	Homo sapiens (Human)	890
O95238	reviewed	SPDEF_HUMAN	SAM pointed domain-containing Ets transcription factor (Prostate epithelium-specific Ets transcription factor) (Prostate-specific Ets) (Prostate-derived Ets factor)	SPDEF PDEF PSE	Homo sapiens (Human)	335
O95239	reviewed	KIF4A_HUMAN	Chromosome-associated kinesin KIF4A (Chromokinesin-A)	KIF4A KIF4	Homo sapiens (Human)	1232
O95243	reviewed	MBD4_HUMAN	Methyl-CpG-binding domain protein 4 (EC 3.2.2.-) (Methyl-CpG-binding endonuclease 1) (Methyl-CpG-binding protein MBD4) (Mismatch-specific DNA N-glycosylase)	MBD4 MED1	Homo sapiens (Human)	580
O95251	reviewed	KAT7_HUMAN	Histone acetyltransferase KAT7 (EC 2.3.1.48) (Histone acetyltransferase binding to ORC1) (Lysine acetyltransferase 7) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2) (MYST-2)	KAT7 HBO1 HBOa MYST2	Homo sapiens (Human)	611
O95255	reviewed	MRP6_HUMAN	ATP-binding cassette sub-family C member 6 (EC 7.6.2.-) (EC 7.6.2.3) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E) (Multidrug resistance-associated protein 6)	ABCC6 ARA MRP6	Homo sapiens (Human)	1503
O95256	reviewed	I18RA_HUMAN	Interleukin-18 receptor accessory protein (IL-18 receptor accessory protein) (IL-18RAcP) (EC 3.2.2.6) (Accessory protein-like) (AcPL) (CD218 antigen-like family member B) (CDw218b) (IL-1R accessory protein-like) (IL-1RAcPL) (Interleukin-1 receptor 7) (IL-1R-7) (IL-1R7) (Interleukin-18 receptor accessory protein-like) (Interleukin-18 receptor beta) (IL-18R-beta) (IL-18Rbeta) (CD antigen CD218b)	IL18RAP IL1R7	Homo sapiens (Human)	599
O95257	reviewed	GA45G_HUMAN	Growth arrest and DNA damage-inducible protein GADD45 gamma (Cytokine-responsive protein CR6) (DNA damage-inducible transcript 2 protein) (DDIT-2)	GADD45G CR6 DDIT2	Homo sapiens (Human)	159
O95259	reviewed	KCNH1_HUMAN	Voltage-gated delayed rectifier potassium channel KCNH1 (Ether-a-go-go potassium channel 1) (EAG channel 1) (h-eag) (hEAG1) (Potassium voltage-gated channel subfamily H member 1) (Voltage-gated potassium channel subunit Kv10.1)	KCNH1 EAG EAG1	Homo sapiens (Human)	989
O95260	reviewed	ATE1_HUMAN	Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)	ATE1	Homo sapiens (Human)	518
O95267	reviewed	GRP1_HUMAN	RAS guanyl-releasing protein 1 (Calcium and DAG-regulated guanine nucleotide exchange factor II) (CalDAG-GEFII) (Ras guanyl-releasing protein)	RASGRP1 RASGRP	Homo sapiens (Human)	797
O95271	reviewed	TNKS1_HUMAN	Poly [ADP-ribose] polymerase tankyrase-1 (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 5) (ARTD5) (Poly [ADP-ribose] polymerase 5A) (Protein poly-ADP-ribosyltransferase tankyrase-1) (EC 2.4.2.-) (TNKS-1) (TRF1-interacting ankyrin-related ADP-ribose polymerase) (Tankyrase I) (Tankyrase-1) (TANK1)	TNKS PARP5A PARPL TIN1 TINF1 TNKS1	Homo sapiens (Human)	1327
O95273	reviewed	CCDB1_HUMAN	Cyclin-D1-binding protein 1 (Grap2 and cyclin-D-interacting protein) (Human homolog of Maid)	CCNDBP1 DIP1 GCIP HHM	Homo sapiens (Human)	360
O95274	reviewed	LYPD3_HUMAN	Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A homolog) (Matrigel-induced gene C4 protein) (MIG-C4)	LYPD3 C4.4A UNQ491/PRO1007	Homo sapiens (Human)	346
O95278	reviewed	EPM2A_HUMAN	Laforin (EC 3.1.3.-) (EC 3.1.3.16) (EC 3.1.3.48) (Glucan phosphatase) (Glycogen phosphatase) (Lafora PTPase) (LAFPTPase)	EPM2A	Homo sapiens (Human)	331
O95292	reviewed	VAPB_HUMAN	Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C)	VAPB UNQ484/PRO983	Homo sapiens (Human)	243
O95297	reviewed	MPZL1_HUMAN	Myelin protein zero-like protein 1 (Protein zero-related)	MPZL1 PZR UNQ849/PRO1787	Homo sapiens (Human)	269
O95298	reviewed	NDUC2_HUMAN	NADH dehydrogenase [ubiquinone] 1 subunit C2 (Complex I-B14.5b) (CI-B14.5b) (Human lung cancer oncogene 1 protein) (HLC-1) (NADH-ubiquinone oxidoreductase subunit B14.5b)	NDUFC2 HLC1	Homo sapiens (Human)	119
O95299	reviewed	NDUAA_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)	NDUFA10	Homo sapiens (Human)	355
O95319	reviewed	CELF2_HUMAN	CUGBP Elav-like family member 2 (CELF-2) (Bruno-like protein 3) (CUG triplet repeat RNA-binding protein 2) (CUG-BP2) (CUG-BP- and ETR-3-like factor 2) (ELAV-type RNA-binding protein 3) (ETR-3) (Neuroblastoma apoptosis-related RNA-binding protein) (hNAPOR) (RNA-binding protein BRUNOL-3)	CELF2 BRUNOL3 CUGBP2 ETR3 NAPOR	Homo sapiens (Human)	508
O95340	reviewed	PAPS2_HUMAN	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPS synthase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK 2) (SK2) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]	PAPSS2 ATPSK2	Homo sapiens (Human)	614
O95342	reviewed	ABCBB_HUMAN	Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11)	ABCB11 BSEP	Homo sapiens (Human)	1321
O95347	reviewed	SMC2_HUMAN	Structural maintenance of chromosomes protein 2 (SMC protein 2) (SMC-2) (Chromosome-associated protein E) (hCAP-E) (XCAP-E homolog)	SMC2 CAPE SMC2L1 PRO0324	Homo sapiens (Human)	1197
O95361	reviewed	TRI16_HUMAN	Tripartite motif-containing protein 16 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM16) (Estrogen-responsive B box protein)	TRIM16 EBBP	Homo sapiens (Human)	564
O95363	reviewed	SYFM_HUMAN	Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)	FARS2 FARS1 HSPC320	Homo sapiens (Human)	451
O95365	reviewed	ZBT7A_HUMAN	Zinc finger and BTB domain-containing protein 7A (Factor binding IST protein 1) (FBI-1) (Factor that binds to inducer of short transcripts protein 1) (HIV-1 1st-binding protein 1) (Leukemia/lymphoma-related factor) (POZ and Krueppel erythroid myeloid ontogenic factor) (POK erythroid myeloid ontogenic factor) (Pokemon) (Pokemon 1) (TTF-I-interacting peptide 21) (TIP21) (Zinc finger protein 857A)	ZBTB7A FBI1 LRF ZBTB7 ZNF857A	Homo sapiens (Human)	584
O95372	reviewed	LYPA2_HUMAN	Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase II) (LPL-II) (LysoPLA II) (Palmitoyl-protein hydrolase) (EC 3.1.2.22)	LYPLA2 APT2	Homo sapiens (Human)	231
O95376	reviewed	ARI2_HUMAN	E3 ubiquitin-protein ligase ARIH2 (ARI-2) (Protein ariadne-2 homolog) (EC 2.3.2.31) (Triad1 protein)	ARIH2 ARI2 TRIAD1 HT005	Homo sapiens (Human)	493
O95390	reviewed	GDF11_HUMAN	Growth/differentiation factor 11 (GDF-11) (Bone morphogenetic protein 11) (BMP-11)	GDF11 BMP11	Homo sapiens (Human)	407
O95391	reviewed	SLU7_HUMAN	Pre-mRNA-splicing factor SLU7 (hSlu7)	SLU7	Homo sapiens (Human)	586
O95393	reviewed	BMP10_HUMAN	Bone morphogenetic protein 10 (BMP-10)	BMP10	Homo sapiens (Human)	424
O95396	reviewed	MOCS3_HUMAN	Adenylyltransferase and sulfurtransferase MOCS3 (Molybdenum cofactor synthesis protein 3) (Molybdopterin synthase sulfurylase) (MPT synthase sulfurylase) [Includes: Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (Adenylyltransferase MOCS3) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase (EC 2.8.1.11) (Sulfur carrier protein MOCS2A sulfurtransferase) (Sulfurtransferase MOCS3)]	MOCS3 UBA4	Homo sapiens (Human)	460
O95398	reviewed	RPGF3_HUMAN	Rap guanine nucleotide exchange factor 3 (Exchange factor directly activated by cAMP 1) (Exchange protein directly activated by cAMP 1) (EPAC 1) (Rap1 guanine-nucleotide-exchange factor directly activated by cAMP) (cAMP-regulated guanine nucleotide exchange factor I) (cAMP-GEFI)	RAPGEF3 CGEF1 EPAC EPAC1	Homo sapiens (Human)	923
O95399	reviewed	UTS2_HUMAN	Urotensin-2 (Urotensin II) (U-II) (UII)	UTS2 UNQ525/PRO1068	Homo sapiens (Human)	124
O95400	reviewed	CD2B2_HUMAN	CD2 antigen cytoplasmic tail-binding protein 2 (CD2 cytoplasmic domain-binding protein 2) (CD2 tail-binding protein 2) (U5 snRNP 52K protein) (U5-52K)	CD2BP2 KIAA1178	Homo sapiens (Human)	341
O95402	reviewed	MED26_HUMAN	Mediator of RNA polymerase II transcription subunit 26 (Activator-recruited cofactor 70 kDa component) (ARC70) (Cofactor required for Sp1 transcriptional activation subunit 7) (CRSP complex subunit 7) (Mediator complex subunit 26) (Transcriptional coactivator CRSP70)	MED26 ARC70 CRSP7	Homo sapiens (Human)	600
O95405	reviewed	ZFYV9_HUMAN	Zinc finger FYVE domain-containing protein 9 (Mothers against decapentaplegic homolog-interacting protein) (Madh-interacting protein) (Novel serine protease) (NSP) (Receptor activation anchor) (hSARA) (Smad anchor for receptor activation)	ZFYVE9 MADHIP SARA SMADIP	Homo sapiens (Human)	1425
O95407	reviewed	TNF6B_HUMAN	Tumor necrosis factor receptor superfamily member 6B (Decoy receptor 3) (DcR3) (Decoy receptor for Fas ligand) (M68)	TNFRSF6B DCR3 TR6 UNQ186/PRO212	Homo sapiens (Human)	300
O95425	reviewed	SVIL_HUMAN	Supervillin (Archvillin) (p205/p250)	SVIL	Homo sapiens (Human)	2214
O95429	reviewed	BAG4_HUMAN	BAG family molecular chaperone regulator 4 (BAG-4) (Bcl-2-associated athanogene 4) (Silencer of death domains)	BAG4 SODD	Homo sapiens (Human)	457
O95433	reviewed	AHSA1_HUMAN	Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (p38)	AHSA1 C14orf3 HSPC322	Homo sapiens (Human)	338
O95445	reviewed	APOM_HUMAN	Apolipoprotein M (Apo-M) (ApoM) (Protein G3a)	APOM G3A NG20 HSPC336	Homo sapiens (Human)	188
